category,units,orders,merchandise_value
agro_industry_and_commerce,212,182,72530.47
air_conditioning,297,253,55024.96
art,209,202,24202.64
arts_and_craftmanship,24,23,1814.01
audio,364,350,50688.50
auto,4235,3897,592720.11
baby,3065,2885,411764.89
bed_bath_table,11115,9417,1036988.68
books_general_interest,553,512,46856.88
books_imported,60,53,4639.85
books_technical,267,260,19096.06
cds_dvds_musicals,14,12,730.00
christmas_supplies,153,128,8800.82
cine_photo,72,65,6933.46
computers,203,181,222963.13
computers_accessories,7827,6689,911954.32
consoles_games,1137,1062,157465.22
construction_tools_construction,929,748,144677.59
construction_tools_lights,304,244,41080.00
construction_tools_safety,194,167,40544.52
cool_stuff,3796,3632,635290.85
costruction_tools_garden,238,194,25715.89
costruction_tools_tools,103,97,15903.95
diapers_and_hygiene,39,27,1567.59
drinks,379,297,22428.70
dvds_blu_ray,64,59,5999.39
electronics,2767,2550,160246.74
fashio_female_clothing,48,39,2803.64
fashion_bags_accessories,2031,1864,152823.54
fashion_childrens_clothes,8,8,569.85
fashion_male_clothing,132,112,10797.82
fashion_shoes,262,240,23562.77
fashion_sport,30,27,2119.51
fashion_underwear_beach,131,121,9541.55
fixed_telephony,264,217,59583.00
flowers,33,29,1110.04
food,510,450,29393.41
food_drink,278,227,15179.48
furniture_bedroom,109,95,20028.78
furniture_decor,8334,6449,729762.49
furniture_living_room,503,422,68916.56
furniture_mattress_and_upholstery,38,38,4368.08
garden_tools,4347,3518,485256.46
health_beauty,9670,8836,1258681.34
home_appliances,771,764,80171.53
home_appliances_2,238,234,113317.74
home_comfort_2,30,24,760.27
home_confort,434,397,58572.04
home_construction,604,490,83088.12
housewares,6964,5884,632248.66
industry_commerce_and_business,268,235,39669.61
kitchen_dining_laundry_garden_furniture,281,248,46328.37
la_cuisine,14,13,2054.99
luggage_accessories,1092,1034,140429.98
market_place,311,280,28378.47
music,38,38,6034.35
musical_instruments,680,628,191498.88
office_furniture,1691,1273,273960.70
party_supplies,43,39,4485.18
pc_gamer,9,8,1545.95
perfumery,3419,3162,399124.87
pet_shop,1947,1710,214315.41
portateis_cozinha_e_preparadores_de_alimentos,15,14,3968.53
security_and_services,2,2,283.29
signaling_and_security,199,140,21509.23
small_appliances,679,630,190648.58
small_appliances_home_oven_and_coffee,76,75,47445.71
sports_leisure,8641,7720,988048.97
stationery,2517,2311,230943.23
tablets_printing_image,83,79,7528.41
telephony,4545,4199,323667.53
toys,4117,3886,483946.60
Uncategorized,1603,1451,179535.28
watches_gifts,5991,5624,1205005.68
