state,orders,customers,merchandise_value
AC,81,77,15982.95
AL,411,399,80314.81
AM,147,142,22356.84
AP,68,67,13474.30
BA,3358,3257,511349.99
CE,1327,1305,227254.71
DF,2125,2062,302603.94
ES,2025,1956,275037.31
GO,2007,1942,294591.95
MA,740,719,119648.22
MG,11544,11178,1585308.03
MS,709,688,116812.64
MT,903,873,156453.53
PA,970,944,178947.81
PB,532,516,115268.08
PE,1648,1605,262788.03
PI,493,481,86914.08
PR,4998,4840,683083.76
RJ,12762,12303,1824092.67
RN,482,471,83034.98
RO,247,235,46140.64
RR,46,45,7829.43
RS,5432,5249,750304.02
SC,3612,3513,520553.34
SE,345,338,58920.85
SP,41375,39981,5202955.05
TO,279,272,49621.74
