"order_id","item_count","merchandise_value"
"03caa2c082116e1d31e67e9ae3700499","8","13440.00"
"736e1922ae60d0d6a89247b851902527","4","7160.00"
"0812eb902a67711a1cb742b3cdaa65ae","1","6735.00"
"fefacc66af859508bf1a7934eab1e97f","1","6729.00"
"f5136e38d1a14a4dbd87dff67da82701","1","6499.00"
"2cc9089445046817a7539d90805e6e5a","6","5934.60"
"a96610ab360d42a2e5335a3998b4718a","1","4799.00"
"199af31afc78c699f0dbf71fb178d4d4","1","4690.00"
"b4c4b76c642808cbe472a32b86cddc95","2","4599.90"
"8dbc85d1447242f3b127dda390d56e19","1","4590.00"
"d2f270487125ddc41fd134c4003ad1d7","2","4400.00"
"426a9742b533fc6fed17d1fd6d143d7e","1","4399.87"
"68101694e5c5dc7330c91e1bbc36214f","1","4099.99"
"b239ca7cd485940b31882363b52e6674","1","4059.00"
"86c4eab1571921a6a6e248ed312f5a5a","1","3999.90"
"80dfedb6d17bf23539beeef3c768f4d7","1","3999.00"
"9a3966c23190dbdbaabed08e8429c006","1","3980.00"
"41b7766bb1df487d17fb9725b78ff509","1","3930.00"
"9de73f3e6157169ad6c32b9f313c7dcb","1","3899.00"
"d3f66901a6743e15f9311547cc623b91","1","3700.00"
