"order_month","order_count","month_status"
"2016-09-01","4","Incomplete boundary month"
"2016-10-01","324","Complete month"
"2016-12-01","1","Complete month"
"2017-01-01","800","Complete month"
"2017-02-01","1780","Complete month"
"2017-03-01","2682","Complete month"
"2017-04-01","2404","Complete month"
"2017-05-01","3700","Complete month"
"2017-06-01","3245","Complete month"
"2017-07-01","4026","Complete month"
"2017-08-01","4331","Complete month"
"2017-09-01","4285","Complete month"
"2017-10-01","4631","Complete month"
"2017-11-01","7544","Complete month"
"2017-12-01","5673","Complete month"
"2018-01-01","7269","Complete month"
"2018-02-01","6728","Complete month"
"2018-03-01","7211","Complete month"
"2018-04-01","6939","Complete month"
"2018-05-01","6873","Complete month"
"2018-06-01","6167","Complete month"
"2018-07-01","6292","Complete month"
"2018-08-01","6512","Complete month"
"2018-09-01","16","Complete month"
"2018-10-01","4","Incomplete boundary month"
