"customer_state","unique_customers","order_count"
"SP","40302","41746"
"RJ","12384","12852"
"MG","11259","11635"
"RS","5277","5466"
"PR","4882","5045"
"SC","3534","3637"
"BA","3277","3380"
"DF","2075","2140"
"ES","1964","2033"
"GO","1952","2020"
"PE","1609","1652"
"CE","1313","1336"
"PA","949","975"
"MT","876","907"
"MA","726","747"
"MS","694","715"
"PB","519","536"
"PI","482","495"
"RN","474","485"
"AL","401","413"
"SE","342","350"
"TO","273","280"
"RO","240","253"
"AM","143","148"
"AC","77","81"
"AP","67","68"
"RR","45","46"
