"customer_city","customer_state","order_count"
"sao paulo","SP","15540"
"rio de janeiro","RJ","6882"
"belo horizonte","MG","2773"
"brasilia","DF","2131"
"curitiba","PR","1521"
"campinas","SP","1444"
"porto alegre","RS","1379"
"salvador","BA","1245"
"guarulhos","SP","1189"
"sao bernardo do campo","SP","938"
"niteroi","RJ","849"
"santo andre","SP","796"
"osasco","SP","746"
"santos","SP","713"
"goiania","GO","692"
"sao jose dos campos","SP","691"
"fortaleza","CE","654"
"sorocaba","SP","633"
"recife","PE","613"
"florianopolis","SC","570"
